"","mean_groun","groundnut_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"24",0.0855702109454785,1.49654363649517,2.26709515600535,0,2.99539097892403
"59",0.20901206724216,1.68578966326421,2.58970408801578,3.72320931040511,2.76888024797393
"119",0.356487539371695,2.01678219437497,2.65874601931954,5.50520154772776,2.92408228242792
"161",0.179757674344702,1.25680852760176,2.58899405288781,1.7481880270062,2.87063030261913
"275",0.0700094350970863,1.51865184332826,3.31522015660823,4.21937492462626,2.94048239127832
"356",0.250410791020437,0.41880760803595,2.58899405288781,1.7481880270062,2.83634672521065
"363",0.329604294913491,1.96989588255356,2.65874601931954,5.50520154772776,2.89466214165877
"464",0.595807908589235,2.36893813604671,2.99627669770714,6.95136909386879,2.85709905784382
"566",0.132488769085542,0.799957217489808,2.98847132047518,4.4215710245264,2.92166170750917
"599",0.0101240334445954,0.646649064862018,2.7855635422284,2.44870631990508,2.69434138784097
"644",0.126036825685899,0.666209728206036,2.7855635422284,2.44870631990508,2.68873401524878
"665",0.0839558590642964,1.33375333798659,4.33107201983724,5.36316241230006,2.71471385938463
"718",0.0520027712926438,1.14413520361052,2.77291888787602,0,2.88189559848472
"758",0.463062450208384,1.76381473748569,4.55253120853509,6.47257508985315,2.66669065671381
"842",0.396057215884007,2.14450616872652,2.99627669770714,6.95136909386879,1.89989537884254
"889",0.38729931545539,1.43585810112623,3.39165397941092,5.6784582838221,2.97104931845928
"956",0.416503271064583,2.17347874477114,2.99627669770714,6.95136909386879,2.64138557114427
"1015",0.593101372719177,1.84811740923762,4.21334781739129,5.40708143378234,2.52023001891381
"1105",0.179296395737551,0.435174803221028,2.58899405288781,1.7481880270062,2.71188502563408
"1206",0.548590097878676,1.56110549833116,3.82053390533369,5.19781516944518,2.38948778200849
"1256",0.272205566943526,2.0877821703731,2.7175806602292,5.06566932773143,2.07129010130327
"1415",0.370127628513175,1.28939322154678,4.33107201983724,5.36316241230006,2.77986479355217
"1477",0.454366029830047,1.2005273084441,2.91077933629609,4.0484418035504,3.04561399472166
"1520",0.493492107688364,2.18348910817539,2.99627669770714,6.95136909386879,2.70876476760362
"1529",0.628537966399316,2.12946756157955,2.99627669770714,6.95136909386879,2.73591241825355
"1566",0.390105107024848,1.39689473459886,3.31522015660823,4.21937492462626,2.91742266635982
"1581",0.371581624882247,1.12595701454951,3.49225402986176,5.25389021628127,2.82662234134424
"1593",0.283474417949286,1.90095713673456,3.82053390533369,5.19781516944518,2.59867979624061
"1624",0.463892984060918,1.72075495134717,2.91077933629609,4.0484418035504,3.0121389413006
"1629",0.310564583885655,0.728599587496378,2.98847132047518,4.4215710245264,2.85904890061892
"1630",0.0807132574325433,0.434447764964597,2.50009459561958,2.72916478969277,2.94055205807061
"1650",0.463892984060918,1.30785016504676,2.91077933629609,4.0484418035504,2.94245688741254
"1759",0.378397898404153,0.596664590189002,3.17598650936112,4.50851625226694,2.11829622634681
"1789",0.463892984060918,1.64094747658973,2.91077933629609,4.0484418035504,3.00357506777566
"1797",0.0721172737642106,0.810234757362251,2.50009459561958,2.72916478969277,2.79409574971503
"1979",0.11478582361095,0.704508979892533,2.7855635422284,2.44870631990508,2.71199040524913
"2069",0.29706386129882,2.05529247556246,4.55253120853509,6.47257508985315,2.95138956441353
"2177",0.347655206845685,1.44956157597142,3.51593368894278,3.99607365448528,3.04291755608864
"2181",0.00385434519847764,1.50448414585746,3.6255249388827,0,2.94967166066761
"2229",0.220783998994266,1.29282795541341,4.33107201983724,5.36316241230006,2.6731635848343
"2288",0.0207301577386351,1.23138954569099,2.26709515600535,0,2.94365053522742
"2420",0.185368735032566,1.73133845879206,2.99627669770714,6.95136909386879,2.59845503231177
"304",0.0244352747116237,1.81981612667795,3.58078294659351,5.98977763964001,2.93172265532701
"376",0.250562071196177,1.66696712760351,3.58078294659351,5.98977763964001,2.72400264251505
"393",0.264607442299802,0.827533649030384,3.2119147561999,4.85455500642305,2.77943972601716
"576",0.245512665346567,1.56915593203755,3.30639568540983,5.00241662707248,2.64265291391327
"675",0.218722843181538,1.24091967224816,2.29900813986645,0,2.95892206425827
"787",0.089508835420516,1.58964755949946,3.58078294659351,5.98977763964001,2.94911107631829
"828",0.17005506119986,1.65068921242138,3.58078294659351,5.98977763964001,2.9498689999766
"927",0.0778907034620869,1.61532820519311,3.58078294659351,5.98977763964001,3.00486364734752
"1215",0.632259176831212,2.23247171299313,2.91077933629609,4.0484418035504,3.01826117486292
"2000",0.0184541339109264,1.65724251717756,3.58078294659351,5.98977763964001,2.94147445898498
"2455",0.107569671286171,0.48741012200593,3.33590723556634,2.59439255037543,2.57210369221674
"2468",0.410942136316284,1.66392917344394,3.82053390533369,5.19781516944518,2.93381256145245
"2474",0.206825882505805,0.513031612536968,2.09437779351545,3.63648789635337,2.55161697990997
"2477",0.216779415665445,1.13577600171474,2.36249398434491,2.39269695325967,2.69217784735586
"2602",0.702252824444969,1.79894815282448,4.14310934368233,4.86861505347097,2.609800786005
"2688",0.373669813917834,1.75238631814497,2.23757342070395,3.59228781595213,3.0256118219968
"2740",0.185060209633199,1.23533715614044,2.26709515600535,0,2.85687627639459
"2903",0.241609803785182,1.96076234291944,2.65874601931954,5.50520154772776,2.68426546673157
"2917",0.340727317135627,0.57666015322839,3.17598650936112,4.50851625226694,2.17396629810017
"3005",0.505823720835272,2.05282017094589,2.99627669770714,6.95136909386879,2.58436488303439
"3068",0.4332466163241,1.52306002838232,2.23757342070395,3.59228781595213,2.97280184542228
"3131",0.0807685605786232,0.726805230395567,2.7855635422284,2.44870631990508,2.9378699896569
"3297",0.158515482773593,0.453417458438817,2.58899405288781,1.7481880270062,2.81630838866581
"3302",0.51501936157463,2.05137385855412,2.99627669770714,6.95136909386879,2.55996003267527
"3335",0.0355714407644101,0.790863239323147,3.49225402986176,5.25389021628127,2.1903233590758
"3409",0.218238945224973,1.95376892307399,2.42066321182124,2.79028516403324,2.89290748077285
"3512",0.431503015246894,2.02248791287782,3.58078294659351,5.98977763964001,2.8775273144218
"3560",0.334537327304017,1.99171319784905,2.61998209528875,4.35812528527665,2.93534529285453
"3592",0.432130778663835,1.46359025083163,3.39165397941092,5.6784582838221,2.96248208377222
"3679",0.126583119827771,1.11213596968173,2.58899405288781,1.7481880270062,2.80081114562461
"3705",0.327585949744882,1.58775606645941,2.26751551150824,3.56726169235387,2.21674696137492
"3767",0.213115109837409,0.655046144634779,2.98847132047518,4.4215710245264,1.85826499791947
"3820",0.239487589520001,1.97420831910359,2.65874601931954,5.50520154772776,2.68482933812569
"3854",0.231364438423088,1.26638277665662,2.50009459561958,2.72916478969277,2.79794317792431
"3933",0.0347955111732713,1.65239271971027,2.88553797188383,4.83241310188512,2.21029622038618
"3995",0.0741069509933436,0.744323714590913,2.58561693011275,4.06785166051235,2.77918620492389
"4035",0.502250955723379,1.2206026022803,4.33107201983724,5.36316241230006,2.88318357911215
"4073",0.597867149050835,2.17952245002013,2.99627669770714,6.95136909386879,2.73153120841035
"4266",0.463892984060918,1.50072355836376,2.91077933629609,4.0484418035504,2.99150823323956
"4276",0.0313482995927762,1.42063824569048,4.33107201983724,5.36316241230006,2.53180193267503
"4340",0.301029995663981,1.02656339881647,3.43335218547393,0,2.96258494089489
"4364",0.446740157267977,2.15082718235752,2.99627669770714,6.95136909386879,1.72261433812545
"4372",0.410527122437271,1.73711180247883,2.5001937426211,1.17609125905568,2.93436166062449
"4441",0.129797269832874,0.688189605477774,2.7855635422284,2.44870631990508,2.88543021749694
"4544",0.485721418391781,1.41429812129852,3.80950249718057,5.78923793550226,2.88254825371348
"4584",0.0681858643445047,0.521484005218609,2.09437779351545,3.63648789635337,2.61945049731097
"4680",0.531225857340705,1.9284959108332,4.55253120853509,6.47257508985315,2.84985796222679
"4785",0.326077877926736,1.31973178036414,2.77291888787602,0,2.92854062953356
"4794",0.417843045668982,2.31600286093754,2.99627669770714,6.95136909386879,2.75592020568688
"4820",0.428241007849338,2.03363209045653,2.65874601931954,5.50520154772776,2.931945957663
"4845",0.0810855131926668,0.805655018928087,3.53572152828684,2.07918124604762,2.56959682480208
"4846",0.014612187063473,1.13543871665844,3.82053390533369,5.19781516944518,2.74778160908691
"4862",0.458835774979791,2.04978140583959,2.99627669770714,6.95136909386879,2.56597424475435
