Fishnet_ID,MaizeError
19,-0.111848352
24,0.035791169
59,-0.004999952
82,-0.028363365
119,0.134602111
161,-0.035965735
275,0.154257389
356,-0.077949984
363,0.192009471
398,-0.127627985
464,-0.152351385
469,0.069943802
566,0.553327758
579,-0.114719202
599,0.085798599
644,-0.123308226
665,0.095302934
671,0.186922212
718,-0.054563681
733,-0.251197323
758,-0.191092992
842,-0.379383351
889,-0.011624492
956,-0.346448928
1015,-0.062481127
1058,-0.095093599
1087,0.069486922
1105,0.048831367
1206,-0.221386488
1256,-0.153424458
1317,0.329289662
1342,0.006449466
1415,-0.246882257
1477,0.112561584
1520,-0.04468236
1529,-0.123754093
1566,-0.192699969
1581,-0.163647306
1593,-0.197930702
1624,-0.150010979
1629,0.119717257
1630,0.052269057
1650,-0.06190357
1789,-0.071968079
1797,0.152753272
1979,-0.109850415
2069,0.126221526
2105,0.414409376
2177,-0.040442715
2181,0.216164832
2229,0.007633975
2288,0.228023281
2329,-0.196886722
2420,-0.227404954
2457,-0.416297307
304,0.07738285
376,-0.042494818
393,0.083035377
576,0.144761147
675,-0.106063683
787,0.028773066
828,-0.080052505
927,0.412015791
1037,0.219906293
1215,0.102838541
1300,-0.282936821
1509,0.371891116
1523,2.17473474
1964,-0.098977237
2000,0.095352662
2351,0.331703057
2455,0.043097555
2468,-0.111738839
2474,-0.148253803
2477,-0.095205437
2511,0.178658661
2592,0.024346538
2602,-0.174654546
2640,0.342056149
2666,0.578320784
2688,-0.043030391
2728,-0.022689464
2735,-0.041761244
2740,-0.057773979
2760,-0.309338393
2795,-0.032432831
2798,0.025452346
2903,-0.258734047
2917,0.588330122
2952,0.066990515
2990,-0.14485974
3005,-0.015533687
3068,-0.17916117
3079,-0.443438694
3092,-0.486669264
3131,0.084274112
3297,0.044490334
3302,-0.320710722
3321,0.039290629
3335,-0.187713033
3409,-0.063311348
3512,-0.181242917
3560,0.047213598
3592,-0.06633033
3679,-0.214910801
3693,-0.146727332
3695,0.097684367
3705,-0.234669114
3767,0.019510306
3820,0.226054045
3850,-0.068459885
3854,-0.060989609
3873,0.637776939
3933,0.468594033
3985,-0.120231274
3995,0.181853802
4035,-0.434737985
4073,-0.344705085
4266,-0.050946951
4276,0.655334427
4340,-0.055612789
4364,-0.313209489
4372,-0.22141544
4441,-0.00055262
4544,-0.199833448
4584,0.231338896
4603,0.194539748
4669,-0.245620828
4680,0.028762831
4785,-0.064001136
4794,-0.021849854
4800,-0.036032859
4820,-0.040991151
4845,0.119915026
4846,-0.155485925
4862,-0.027846949
4869,-0.345227701
2614,0.157330792
2664,0.105867426
2808,0.025032858
2824,-0.184715005
3344,0.060110919
3438,0.323664422
3616,1.561257119
3710,0.97921557
3928,-0.106163392
4115,-0.277422566
4272,0.245635095
4379,0.423424874
4656,0.060410782
4697,0.68975847
4804,0.397447927
4916,-0.385338539
4954,0.083591173
4970,-0.03023044
4974,-0.251268329
4983,0.018516683
4998,-0.110570554
5036,-0.012809992
5137,-0.163976738
5184,0.645410889
5236,-0.099199125
5250,-0.140458356
5286,0.134157259
5316,-0.090011174
5330,-0.054101113
5354,-0.040653702
5469,-0.02482152
5511,0.064438131
5521,0.375133814
5542,0.015367975
5558,0.221777079
5643,-0.175241412
5680,0.324972948
5731,0.154543001
5785,-0.367935909
5941,0.148082936
5972,0.022791653
5998,0.004747161
6014,-0.153317732
6036,0.005069654
6069,-0.285622824
6130,-0.439129477
6229,0.092125745
6273,0.241738304
6328,0.03504696
6382,0.38131286
6581,-0.129183288
6585,0.292306303
6640,0.095274446
6646,0.057246156
6673,-0.059464228
6709,-0.00149457
6719,-0.240646918
6749,0.628118631
6752,0.192685169
6773,-0.159196633
6810,-0.189727392
6816,0.106765805
6860,0.02195482
6884,0.010021563
6886,-0.062129356
6946,-0.10707141
7009,0.028877696
7134,-0.074963699
7138,-0.019585069
7188,0.907027339
7233,0.428368984
7234,0.168188239
7306,-0.313642762
7388,0.021658432
7417,-0.209889556
7423,-0.048317171
7447,-0.115648272
7455,-0.183889226
7549,-0.102491577
7593,-0.26506139
7638,0.225455187
7805,-0.176139348
7828,0.256788181
7847,-0.341195636
7868,-0.110613002
7882,0.067653232
7889,0.17596503
7947,0.001743189
7970,-0.311039141
8094,-0.145079647
8206,-0.093354664
8212,-0.357155469
8356,-0.202756136
8395,-0.213990741
8461,0.084111167
8537,-0.055029413
8556,-0.134553016
8679,0.097390725
8681,0.05824167
8699,-0.232646423
8866,-0.218187504
9006,0.027007415
9043,0.577980232
9046,-0.001752683
9057,0.115824199
9137,0.01032574
9155,0.252613469
9212,-0.04395708
9242,0.085200751
9286,0.018084105
9291,0.067567253
9349,-0.132904471
9368,-0.260032988
9452,0.121328884
9482,-0.002644169
9494,0.109563379
9522,0.120672136
9585,-0.368516297
9598,0.228115467
9633,-0.066063547
9702,0.085564719
9730,-0.075557805
9775,-0.078077637
9799,0.080734389
9863,0.167378408
9883,0.276876484
9899,-0.082266956
10009,-0.085432157
10031,-0.003106155
10071,0.040826597
10155,-0.152539807
10290,0.408640481
10312,-0.047791541
10340,-0.164411874
10392,0.758440365
10452,-0.108418741
10460,0.287859839
10505,0.208187147
10514,0.002212439
10537,0.31101755
10592,-0.293846395
10604,0.383610503
10640,0.42521251
10642,-0.173956272
10693,-0.263984917
10708,0.337883667
10819,-0.289040631
10834,-0.155090675
10846,0.399366496
10896,-0.085142943
10902,0.125965474
10925,0.035065152
10951,-0.092489767
11003,-0.037341344
11033,0.589198837
11085,-0.228071955
11152,0.036595956
11164,-0.013691476
11183,-0.066943067
11226,-0.077539446
11233,0.091094285
11260,-0.113048705
11267,-0.421190815
11332,0.023389427
11339,-0.032937702
11425,-0.229628833
11455,-0.057038243
11486,-0.053496557
11570,-0.155504134
11588,-0.163676447
11607,0.486492606
11765,0.29666172
11784,0.128918281
11832,-0.328666369
11870,0.189860836
11956,0.017065293
11966,0.416023589
11986,0.227868188
11992,0.038574107
12142,0.810985155
12187,0.260607988
12215,0.218751922
12346,0.488457157
12392,-0.178512269
12402,-0.323922708
12408,-0.45976465
12472,-0.121218406
12532,-0.121614488
12565,0.745401202
12570,0.639340528
12618,-0.038360667
12737,0.583869786
12857,0.144184718
12862,0.086064666
12886,-0.07336829
12897,0.12883946
13134,0.474708229
13172,-0.108132252
13182,-0.022211698
13231,-0.1525601
13286,0.023368001
13354,-0.008590197
5018,-0.247656461
5126,-0.418817435
5457,-0.103659463
5463,-0.068769594
6093,-0.007772394
6323,0.305980336
6540,0.001761858
6542,0.088544049
6694,0.120672086
6783,0.453336854
6990,-0.240215114
7007,-0.058620513
7125,-0.181507126
7404,-0.212852933
7473,-0.013132075
7583,0.230525829
7699,0.370857158
7750,-0.356707759
8005,-0.101580914
8075,-0.422850846
8123,0.281447051
8173,-0.174278378
8295,0.117005358
8591,0.101959053
8694,-0.127927636
8768,-0.004401967
9138,1.388564167
9371,0.013267236
9924,-0.365697519
9947,-0.107815265
10021,-0.065626085
10288,0.104479337
10617,0.074330848
10814,0.367583868
11078,-0.15742068
11102,0.506808698
11235,-0.086090992
11285,-0.208156982
11502,0.023271409
11847,-0.257050153
12050,0.213300992
12149,0.059686096
12170,-0.137774351
12281,0.113168982
12458,-0.245871359
12730,0.040696366
13094,0.135821083
13150,0.397894015
13254,-0.074172542
13429,0.159371259
13490,0.77116538
13524,-0.140735484
13526,-0.114900314
13537,0.121551518
13553,-0.088118612
13562,-0.22954712
13598,0.070120558
13629,-0.02377167
13646,-0.026373725
13670,-0.042835465
13679,-0.103988712
13778,-0.26630953
13830,-0.015458598
13862,0.206335768
13892,-0.188264428
13947,0.698758794
13959,0.896767414
14021,-0.296303626
14064,0.474658882
14095,-0.117002441
14126,0.227552656
14187,0.024598013
14193,0.081330744
14204,-0.108962036
14210,0.057473366
14238,-0.030095736
14304,0.414120972
14327,-0.021220513
