"","mean_rice_","rice_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"19",0.742993640963852,2.37264499855251,3.69928062050879,4.98465330797233,2.25388439557119
"24",0.0858101249710405,1.31889822873682,2.26709515600535,0,2.99539097892403
"59",0.371568089226696,1.10601545413284,2.58970408801578,3.72320931040511,2.76888024797393
"82",0.405063449435761,1.75022215463092,4.39150652613484,5.83682522770016,2.58169777801571
"119",0.632482329704065,2.2631274937266,2.65874601931954,5.50520154772776,2.92408228242792
"161",0.260902143234662,1.1219289032943,2.58899405288781,1.7481880270062,2.87063030261913
"275",0.085961953268992,1.63404497055766,3.31522015660823,4.21937492462626,2.94048239127832
"356",0.34238882802464,0.421200634611845,2.58899405288781,1.7481880270062,2.83634672521065
"363",0.584558018862256,2.26562161161583,2.65874601931954,5.50520154772776,2.89466214165877
"464",0.913754652846033,2.5170504369509,2.99627669770714,6.95136909386879,2.85709905784382
"469",0.0809870479921182,1.70732793019218,2.88553797188383,4.83241310188512,2.23323036786883
"566",0.20814629287462,0.604746924557478,2.98847132047518,4.4215710245264,2.92166170750917
"599",0.277328293988554,0.699414728971558,2.7855635422284,2.44870631990508,2.69434138784097
"644",0.406444493115944,0.708570377266237,2.7855635422284,2.44870631990508,2.68873401524878
"718",0.302574742131331,1.12333665793731,2.77291888787602,0,2.88189559848472
"842",0.845165345231802,2.3772798124047,2.99627669770714,6.95136909386879,1.89989537884254
"889",0.449790202772591,2.20637563865648,3.39165397941092,5.6784582838221,2.97104931845928
"956",0.773041301361532,2.3397514125143,2.99627669770714,6.95136909386879,2.64138557114427
"1015",0.061116472120152,1.75971667900043,4.21334781739129,5.40708143378234,2.52023001891381
"1105",0.368749754907645,0.440053304971024,2.58899405288781,1.7481880270062,2.71188502563408
"1256",0.526261390160307,1.98905137306697,2.7175806602292,5.06566932773143,2.07129010130327
"1317",0.209905798608583,1.40556134437651,3.33487843404016,5.32502074550366,2.64793573349118
"1477",0.57559811965331,2.02694301002555,2.91077933629609,4.0484418035504,3.04561399472166
"1520",0.734165204291139,2.42489726474702,2.99627669770714,6.95136909386879,2.70876476760362
"1529",0.640984832994266,2.12614748657946,2.99627669770714,6.95136909386879,2.73591241825355
"1566",0.76091171607429,1.88420665775424,3.31522015660823,4.21937492462626,2.91742266635982
"1581",0.432969287509024,1.95003676365209,3.49225402986176,5.25389021628127,2.82662234134424
"1593",0.910264334592955,2.12720750399468,3.82053390533369,5.19781516944518,2.59867979624061
"1624",0.581376267173391,2.11965620475875,2.91077933629609,4.0484418035504,3.0121389413006
"1629",0.362856114479682,0.488389127344389,2.98847132047518,4.4215710245264,2.85904890061892
"1630",0.167978311928775,0.589811825506786,2.50009459561958,2.72916478969277,2.94055205807061
"1650",0.606385836063283,1.92579216504395,2.91077933629609,4.0484418035504,2.94245688741254
"1789",0.714352204476617,2.12621908886518,2.91077933629609,4.0484418035504,3.00357506777566
"1797",0.0202959068765418,0.648737736254363,2.50009459561958,2.72916478969277,2.79409574971503
"1979",0.390107276455001,0.744517360948275,2.7855635422284,2.44870631990508,2.71199040524913
"2177",0.430134253501991,1.67190748934173,3.51593368894278,3.99607365448528,3.04291755608864
"2181",0.147848017754759,1.1539553561499,3.6255249388827,0,2.94967166066761
"2288",0.0188108199947761,0.661157069808919,2.26709515600535,0,2.94365053522742
"2420",0.903585978638993,2.43568589600541,2.99627669770714,6.95136909386879,2.59845503231177
"304",0.100327197952342,1.44447483394895,3.58078294659351,5.98977763964001,2.93172265532701
"393",0.519002145853308,1.73440627410035,3.2119147561999,4.85455500642305,2.77943972601716
"576",0.475411847994868,1.76796458617811,3.30639568540983,5.00241662707248,2.64265291391327
"675",0.245583439956759,1.74315107048674,2.29900813986645,0,2.95892206425827
"787",0.197865653168658,1.49075192194125,3.58078294659351,5.98977763964001,2.94911107631829
"828",0.295973438693149,1.50283423137037,3.58078294659351,5.98977763964001,2.9498689999766
