"","mean_rapes","rapeseed_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"19",0.574821925346921,2.54676952197318,3.69928062050879,4.98465330797233,2.25388439557119
"82",0.526948980996585,2.33405159732077,4.39150652613484,5.83682522770016,2.58169777801571
"119",0.218553282831193,2.05692952960972,2.65874601931954,5.50520154772776,2.92408228242792
"275",0.0712960864836346,1.95537385774773,3.31522015660823,4.21937492462626,2.94048239127832
"363",0.217995201268914,2.05698651311671,2.65874601931954,5.50520154772776,2.89466214165877
"398",0.0776048560281142,1.03621569099008,3.33487843404016,5.32502074550366,2.63714411967719
"464",0.489147178214627,2.48789120640882,2.99627669770714,6.95136909386879,2.85709905784382
"556",0.322012180985073,1.95773528791374,4.4645225202218,5.3694440804306,2.63301131606616
"579",0.364293223720128,2.39423443302587,3.69928062050879,4.98465330797233,2.61596882907127
"665",0.224474159526805,1.86890545273178,4.33107201983724,5.36316241230006,2.71471385938463
"842",0.282580405691908,2.33492945656605,2.99627669770714,6.95136909386879,1.89989537884254
"956",0.287470769736534,2.34174276009612,2.99627669770714,6.95136909386879,2.64138557114427
"1015",0.356873023457798,2.35877952192694,4.21334781739129,5.40708143378234,2.52023001891381
"1058",0.429406179756332,2.44171927671674,3.69928062050879,4.98465330797233,2.5846946000857
"1206",0.33865263825086,1.96924737199784,3.82053390533369,5.19781516944518,2.38948778200849
"1256",0.255039103209331,2.37358520545901,2.7175806602292,5.06566932773143,2.07129010130327
"1317",0.0711913700427273,1.27438569637142,3.33487843404016,5.32502074550366,2.64793573349118
"1520",0.371811097537332,2.34251714006136,2.99627669770714,6.95136909386879,2.70876476760362
"1529",0.412317458521854,2.24239687163563,2.99627669770714,6.95136909386879,2.73591241825355
"1593",0.335802531346538,1.94284000910986,3.82053390533369,5.19781516944518,2.59867979624061
"1666",0.0878157537466976,2.00821427107439,4.48925689329624,4.11223623086894,2.61389213689062
"1759",0.222716475568545,0.729939592433936,3.17598650936112,4.50851625226694,2.11829622634681
"2105",0.117508030022463,1.27768331328845,3.33487843404016,5.32502074550366,2.36335451398268
"2229",0.0298368436529187,1.12367513264259,4.33107201983724,5.36316241230006,2.6731635848343
"2420",0.258136811241188,2.36590351648978,2.99627669770714,6.95136909386879,2.59845503231177
"2457",0.278753595467004,1.24956496638106,3.33487843404016,5.32502074550366,2.365030897342
"304",0.100944631984953,2.0140208038757,3.58078294659351,5.98977763964001,2.93172265532701
"376",0.409933132118576,1.82877014243559,3.58078294659351,5.98977763964001,2.72400264251505
"787",0.212288521916169,1.84408674856252,3.58078294659351,5.98977763964001,2.94911107631829
"828",0.198064955040839,1.84544942867962,3.58078294659351,5.98977763964001,2.9498689999766
"927",0.0250885403339516,1.91795534511984,3.58078294659351,5.98977763964001,3.00486364734752
"1037",0.112060119592772,2.01291439745891,3.58078294659351,5.98977763964001,2.94093428521864
"1300",0.387241484991934,1.84353535598378,3.58078294659351,5.98977763964001,2.91526789096641
"1509",0.223419792054589,2.09784531555774,3.76349188024616,4.27018954270418,2.71868947481343
