Fishnet_ID,Potato_Error
19,-0.120852166
59,-0.098962982
82,0.051687689
119,-0.445248242
161,0.19891826
356,-0.148626626
363,-0.223368003
464,-0.257210956
556,-0.167133624
579,-0.222321533
599,0.204459827
644,-0.086654649
665,0.489532401
671,1.198001695
718,1.534637079
733,-0.339117409
758,1.381687792
842,0.316461818
889,-0.387713433
956,-0.043116384
1015,-0.242593188
1058,-0.294113506
1206,-0.093678808
1256,-0.118589329
1342,-0.039548365
1415,-0.052116069
1477,0.099598159
1520,0.183862067
1529,-0.255530259
1566,-0.237105269
1581,-0.175457226
1593,-0.256509382
1624,-0.018672214
1629,0.094071834
1650,-0.221072874
1666,2.085284807
1759,-0.1259878
1789,-0.215043965
1797,0.800754199
1979,-0.040387779
2069,-0.386935143
2105,0.303826919
2177,-0.130967329
2181,1.968188569
2228,0.021846577
2288,0.83120077
2329,-0.490803127
2420,0.911462068
2457,-0.339738741
2474,-0.236322093
2477,-0.03089965
2511,-0.094262203
2592,0.336141434
2602,-0.2416411
2628,0.260347653
2640,-0.076858749
2688,-0.139392915
2728,-0.423066747
2735,-0.20010212
2740,-0.075474993
2760,-0.274316509
2795,-0.182988323
2798,0.196783201
2903,-0.183811739
2917,-0.051138071
2952,0.233551763
2990,-0.133851077
3005,0.157143167
3068,0.271670612
3079,2.218403833
3131,0.182116965
3280,0.006880677
3302,-0.198988869
3321,0.290931667
3335,2.98567504
3409,-0.060148305
3512,-0.491325657
3560,-0.006816073
3592,-0.178805064
3679,0.080593066
3693,-0.08777678
3705,-0.173166142
3767,0.150540127
3820,-0.109456279
3850,0.852574028
3873,2.56389163
3985,-0.140624431
3995,-0.002809194
4073,-0.241511209
4266,0.232227174
4340,-0.156715488
4364,0.143928093
4372,-0.113956489
4441,-0.156625727
4544,-0.280852661
4584,1.002690019
4669,-0.049298389
4680,-0.313772337
4785,-0.230050099
4794,0.31412623
4800,0.413798246
4816,-0.179951539
4820,0.801919718
4845,1.118357701
4862,0.315748792
4869,-0.013461149
4916,0.074267288
4954,0.042680657
4970,-0.017560558
4974,-0.218719667
4983,-0.262051645
4998,0.025717741
5137,-0.423213655
5152,-0.132081697
5236,-0.031469197
5250,-0.449651471
5278,-0.049628283
5286,-0.019224887
5316,-0.050417439
5354,0.399456364
5477,-0.170003947
5511,0.128234924
5521,1.403848395
5542,-0.004177666
5558,0.792086438
5643,-0.428245053
5731,0.23273705
5785,-0.370965012
5941,2.080329006
5972,0.406642013
5998,0.023044512
6014,-0.24021437
6036,0.67768917
6069,-0.093400204
6130,-0.286667039
6229,0.162839406
6273,0.12500202
6328,0.070901015
6382,1.114567834
6581,-0.477880212
6585,1.626450267
6640,0.868718862
6646,-0.004735802
6673,0.166677498
6709,0.033011224
6719,-0.01513935
6752,-0.350255655
6773,-0.181958257
6810,3.181269169
6816,-0.056601245
6860,-0.090480138
6884,-0.096643348
6886,-0.154569825
6946,-0.090510552
7134,-0.139408804
7138,0.147076179
7154,-0.089230345
7188,3.607401388
7233,1.324877228
7234,-0.120716895
7306,-0.161911963
7388,-0.177004328
7417,-0.030346525
7455,-0.218271444
7480,0.841821826
7549,-0.262345185
7615,-0.183651496
