Order_Mean,FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
64,63780,1,5885996306,0.020066768,0.020066768,0,0.020066768,0,0.020066768
65,50912,1,5885996306,0.020063648,0.020063648,0,0.020063648,0,0.020063648
66,49813,1,5885996306,0.020062689,0.020062689,0,0.020062689,0,0.020062689
67,65842,1,5885996306,0.020047799,0.020047799,0,0.020047799,0,0.020047799
68,52873,2,11771992612,0.020028727,0.020061638,3.29111E-05,0.020045183,1.64555E-05,0.040090365
69,70585,1,5885996306,0.020043762,0.020043762,0,0.020043762,0,0.020043762
70,45642,1,5885996306,0.020036744,0.020036744,0,0.020036744,0,0.020036744
71,57568,1,5885996306,0.0200241,0.0200241,0,0.0200241,0,0.0200241
72,47704,1,5885996306,0.020019149,0.020019149,0,0.020019149,0,0.020019149
73,74396,2,11771992612,0.020000558,0.020034511,3.39523E-05,0.020017534,1.69761E-05,0.040035069
74,76339,1,5885996306,0.020012064,0.020012064,0,0.020012064,0,0.020012064
75,47374,1,5885996306,0.020008909,0.020008909,0,0.020008909,0,0.020008909
76,72389,2,11771992612,0.019993069,0.020022782,2.97129E-05,0.020007925,1.48565E-05,0.04001585
77,53779,1,5885996306,0.020000095,0.020000095,0,0.020000095,0,0.020000095
78,62233,1,5885996306,0.019996772,0.019996772,0,0.019996772,0,0.019996772
79,43865,1,5885996306,0.01999495,0.01999495,0,0.01999495,0,0.01999495
80,44763,1,5885996306,0.019993858,0.019993858,0,0.019993858,0,0.019993858
81,60206,2,11771992612,0.019976558,0.020010265,3.37064E-05,0.019993411,1.68532E-05,0.039986823
82,44615,2,11771992612,0.019985653,0.019995451,9.79751E-06,0.019990552,4.89876E-06,0.039981104
83,65532,1,5885996306,0.019980628,0.019980628,0,0.019980628,0,0.019980628
84,25998,1,5885996306,0.019971281,0.019971281,0,0.019971281,0,0.019971281
85,44514,1,5885996306,0.01996881,0.01996881,0,0.01996881,0,0.01996881
86,66981,1,5885996306,0.01996813,0.01996813,0,0.01996813,0,0.01996813
87,44350,2,11771992612,0.019961674,0.019972706,1.10324E-05,0.01996719,5.51622E-06,0.03993438
88,75488,1,5885996306,0.019964987,0.019964987,0,0.019964987,0,0.019964987
89,44951,2,11771992612,0.019950647,0.019978024,2.73772E-05,0.019964335,1.36886E-05,0.039928671
90,71997,2,11771992612,0.019946983,0.019981246,3.42634E-05,0.019964115,1.71317E-05,0.03992823
91,76286,1,5885996306,0.019961279,0.019961279,0,0.019961279,0,0.019961279
92,52040,1,5885996306,0.019948971,0.019948971,0,0.019948971,0,0.019948971
93,46310,1,5885996306,0.019947829,0.019947829,0,0.019947829,0,0.019947829
94,76253,1,5885996306,0.019945033,0.019945033,0,0.019945033,0,0.019945033
95,69545,2,11771992612,0.019914173,0.019974343,6.01709E-05,0.019944258,3.00854E-05,0.039888516
96,52660,2,11771992612,0.01993618,0.019950064,1.38842E-05,0.019943122,6.94208E-06,0.039886244
97,47781,1,5885996306,0.019936552,0.019936552,0,0.019936552,0,0.019936552
98,52979,2,11771992612,0.019924987,0.019941092,1.61044E-05,0.019933039,8.05221E-06,0.039866079
99,76309,1,5885996306,0.019931877,0.019931877,0,0.019931877,0,0.019931877
100,72254,1,5885996306,0.019929914,0.019929914,0,0.019929914,0,0.019929914
